factor,valid_observations,total_observations,coverage_pct,n_dates,mean_ic,median_ic,std_ic,icir,pct_positive,spread_n_dates,spread_mean_spread,spread_std_spread,ic_1d,icir_1d,ic_5d,icir_5d,ic_20d,icir_20d,persistence_rank_autocorr
realized_vol_60d,8960,9056,98.93992932862191,1118,0.05377374563421075,0.07142857142857144,0.49112566597253265,0.10949080726157401,0.5420393559928444,1118,0.004645430264108198,0.048489069086761524,0.021487081333244434,0.04535151871233994,0.05377374563421075,0.10949080726157401,0.10290412128977151,0.21435440194525537,0.967743308225882
adv_20d,9024,9056,99.64664310954063,1126,0.04730186923792608,0.07142857142857144,0.47131835608522327,0.10036076173823581,0.544404973357016,1126,0.004563366396515309,0.04776903048825081,0.020615748178049453,0.04524330405173229,0.04730186923792608,0.10036076173823581,0.09383878217359964,0.19654576575910715,0.9885072041238856
sales_to_price,2558,9056,28.246466431095406,302,0.044063386944181646,0.07142857142857144,0.491242443349389,0.08969784174948052,0.5264900662251656,284,0.0025074228213330884,0.03401002645678198,0.029726544082979735,0.06458950509307015,0.044063386944181646,0.08969784174948052,0.09113712374581939,0.1868560258825436,0.9903027436140021
realized_vol_20d,9024,9056,99.64664310954063,1126,0.04174067495559503,0.023809523809523815,0.46994495001514547,0.0888203500308915,0.5079928952042628,1126,0.00423358195984149,0.0468237086824953,0.00846942770355076,0.01822935013690165,0.04174067495559503,0.0888203500308915,0.08690582199041683,0.1857906398118866,0.8865297671863778
downside_vol_20d,9024,9056,99.64664310954063,1126,0.03167554766133807,0.023809523809523815,0.4635133183011568,0.06833794501835141,0.5071047957371225,1126,0.003425827007418273,0.04630711616526052,0.01313028708940742,0.02860517730069554,0.03167554766133807,0.06833794501835141,0.05976762922444135,0.13148567192155242,0.8380022816580049
momentum_12_1,8640,9056,95.40636042402826,1078,0.030523897870836654,0.04761904761904763,0.45809810816529273,0.06663179202613713,0.5231910946196661,1078,0.001641690037214022,0.04489405495405124,0.009471837734447602,0.02064186429936459,0.030523897870836654,0.06663179202613713,0.02236987818383167,0.051008145088677466,0.9466437177280552
gross_profitability,2494,9056,27.53975265017668,523,0.02256214149139579,0.09999999999999999,0.6496886474027289,0.03472762157934087,0.5066921606118547,266,0.004803098750575171,0.05909146838781581,-0.0003816793893129774,-0.0005955972875984353,0.02256214149139579,0.03472762157934087,-0.005961538461538464,-0.009653494424016909,0.9934782608695651
asset_growth,6560,9056,72.43816254416961,818,0.018279194318314124,0.023809523809523815,0.4303308389976133,0.042477072665516084,0.5171149144254279,818,0.0009737024172885925,0.03996898543485298,0.0004012384446701682,0.0009520176809560835,0.018279194318314124,0.042477072665516084,0.041571720712825014,0.09622943998462906,0.9783417640560499
momentum_3_1,8952,9056,98.85159010600707,1117,0.013855139190859879,0.0,0.4255261959163945,0.032560014691979326,0.4897045658012534,1117,0.0011984480015133768,0.04252746213677206,0.0009870271204919067,0.002242826376277847,0.013855139190859879,0.032560014691979326,0.027571172095409078,0.06278998295209892,0.813996081437942
momentum_6_1,8848,9056,97.70318021201413,1104,0.007224810213940651,0.0,0.4430703226277176,0.016306238186056924,0.4891304347826087,1104,0.0005874939338144987,0.044364273946248096,-0.0044003926787387244,-0.00973899963552047,0.007224810213940651,0.016306238186056924,0.02612343756757926,0.05895738413064228,0.9088127558715795
reversal_5d,9048,9056,99.91166077738515,1129,0.003985828166519044,0.0,0.4259421111290877,0.00935767575540584,0.49689991142604073,1129,0.0013778210666376349,0.04176460588241039,0.03606276947724498,0.08440208958206617,0.003985828166519044,0.00935767575540584,-0.0016916180326482255,-0.004023615204499812,0.020585756426464395
reversal_20d,9024,9056,99.64664310954063,1126,-0.0056880656347796646,-0.011904761904761908,0.4353113389533342,-0.013066660860376602,0.48046181172291297,1126,0.0003368638445874632,0.04294199702160127,0.021299154428956083,0.049166682385650834,-0.0056880656347796646,-0.013066660860376602,-0.024085146079803253,-0.0575330452279418,0.6699835213588542
reversal_1d,9056,9056,100.0,1130,-0.008186410182680829,-0.023809523809523815,0.42553191198109314,-0.019238064060973552,0.4778761061946903,1130,0.00031196801847119834,0.042359888748303876,0.02308519839017538,0.054524621273078486,-0.008186410182680829,-0.019238064060973552,-0.0002713449621797089,-0.0006304210951293092,0.007558240417469406
earnings_yield,4444,9056,49.07243816254417,833,-0.011144457783113243,0.0,0.5601099670310312,-0.019896910319569118,0.4729891956782713,475,-2.1242233672706945e-05,0.04417141877932926,-0.0015187849720223788,-0.0026617364944308193,-0.011144457783113243,-0.019896910319569118,0.010992541594951229,0.01946834093247053,0.9744959503704981
roa,4425,9056,48.86263250883392,818,-0.018541157294213528,0.0,0.5595595607249807,-0.03313527030114738,0.47555012224938875,488,0.001073193134660036,0.044601550214237215,0.0065410779696494,0.011808760320750046,-0.018541157294213528,-0.03313527030114738,-0.0250423605024832,-0.04473134959076303,0.9907087621373336
leverage,4861,9056,53.67712014134276,869,-0.018592799605457833,-0.028571428571428574,0.48088325896202494,-0.03866385293925588,0.47295742232451093,827,-0.0027826412482292446,0.04122386725196614,-0.007923566704158148,-0.0166813354691802,-0.018592799605457833,-0.03866385293925588,-0.04468822170900693,-0.09429719294285954,0.9966995073891625
book_to_market,6175,9056,68.18683745583039,869,-0.024469833963504863,-0.023809523809523815,0.46966347924383495,-0.052100780760943245,0.46835443037974683,869,-0.001701647332165452,0.041879791966577144,-0.008675424192665572,-0.01851330607297443,-0.024469833963504863,-0.052100780760943245,-0.03483448806774444,-0.07516755995942807,0.9907799671592776
operating_margin,1459,9056,16.110865724381625,284,-0.02464788732394366,-0.09999999999999999,0.5753089960617549,-0.042842867906932404,0.45774647887323944,253,-0.0016094513799232535,0.04684803282284591,-0.045263157894736845,-0.07974050556013924,-0.02464788732394366,-0.042842867906932404,-0.05231316725978647,-0.09152180722794144,0.9933333333333331
amihud_20d,8987,9056,99.238074204947,1126,-0.044521272096760565,-0.07142857142857144,0.4579667341058733,-0.09721507869710921,0.4547069271758437,1126,-0.004063338094600637,0.046305178632845514,-0.022718402237922538,-0.05069019093426901,-0.044521272096760565,-0.09721507869710921,-0.08741466310477886,-0.1878105404996841,0.971025055985127
