fold,train_end,test_start,test_end,n_train,n_test,oos_r2,mean_ic,icir,n_ic_dates,coverage_pct,top_bottom_tercile_spread,feature_group,model
0,2013-09-06,2013-09-06,2015-10-30,3616,904,-139.17523488985077,0.03497682258744205,0.08203398677743953,113,100.0,0.0037169252862634455,price_only,baseline
1,2015-11-06,2015-11-06,2017-12-29,4520,904,-221.38926266063575,0.0657395701643489,0.14600214644529041,113,100.0,0.00522722443126656,price_only,baseline
2,2018-01-05,2018-01-05,2020-02-28,5424,904,-164.28786651398616,0.008217446270543617,0.018230482406707105,113,100.0,0.0018804938300168324,price_only,baseline
3,2020-03-06,2020-03-06,2022-04-29,6328,904,-289.2013879346692,-0.0012642225031605793,-0.0026663885255918543,113,100.0,0.001511978919975045,price_only,baseline
4,2022-05-06,2022-05-06,2024-06-28,7232,904,-252.999688183939,0.04214075010535189,0.0959793448349551,113,100.0,0.009641149690125311,price_only,baseline
5,2024-07-05,2024-07-05,2026-08-28,8136,904,-121.94275616207183,0.029498525073746312,0.0610695048008262,113,100.0,0.0035774622872874915,price_only,baseline
0,2013-09-06,2013-09-06,2015-10-30,3616,904,0.0026055589202731433,0.04593341761483355,0.12904074161084436,113,100.0,0.002066109407902248,price_only,ols
1,2015-11-06,2015-11-06,2017-12-29,4520,904,-0.00016931817755283518,0.036241045090602615,0.09324575774581641,113,100.0,0.0038267300362678936,price_only,ols
2,2018-01-05,2018-01-05,2020-02-28,5424,904,0.0017764800614671339,0.09186683522966711,0.18017611415539872,113,100.0,0.006604139412354845,price_only,ols
3,2020-03-06,2020-03-06,2022-04-29,6328,904,-0.0035186763912633534,0.03603034134007584,0.06485118341700646,113,100.0,0.0012588848399610417,price_only,ols
4,2022-05-06,2022-05-06,2024-06-28,7232,904,0.009171901411784922,0.07290349768225877,0.14609928759295676,113,100.0,0.008758920311530076,price_only,ols
5,2024-07-05,2024-07-05,2026-08-28,8136,904,0.0018568810639947309,0.04445849136114623,0.09295187959423269,113,100.0,0.0025519094142083636,price_only,ols
0,2013-09-06,2013-09-06,2015-10-30,3616,904,0.002607361328458291,0.045512010113780026,0.12762339384992394,113,100.0,0.002047719755214145,price_only,ridge
1,2015-11-06,2015-11-06,2017-12-29,4520,904,-0.0001713761630595112,0.036241045090602615,0.09324575774581641,113,100.0,0.0038267300362678936,price_only,ridge
2,2018-01-05,2018-01-05,2020-02-28,5424,904,0.0017760662403242256,0.0929203539823009,0.1820012096098165,113,100.0,0.006604139412354845,price_only,ridge
3,2020-03-06,2020-03-06,2022-04-29,6328,904,-0.003519409599529011,0.03539823008849557,0.06359779145832863,113,100.0,0.0012588848399610417,price_only,ridge
4,2022-05-06,2022-05-06,2024-06-28,7232,904,0.009184702692274671,0.07395701643489257,0.14800886770270322,113,100.0,0.008758920311530076,price_only,ridge
5,2024-07-05,2024-07-05,2026-08-28,8136,904,0.0018530638631611973,0.04445849136114623,0.09295187959423269,113,100.0,0.0025519094142083636,price_only,ridge
0,2013-09-06,2013-09-06,2015-10-30,3616,904,0.0026971275697159625,0.06953223767383059,0.18637674284605113,113,100.0,0.004527365237231216,price_only,elastic_net
1,2015-11-06,2015-11-06,2017-12-29,4520,904,0.0011135881314650042,0.03413400758533502,0.08880964558284701,113,100.0,0.003331304565610994,price_only,elastic_net
2,2018-01-05,2018-01-05,2020-02-28,5424,904,0.0024591549553550918,0.07985672144964182,0.156008457190093,113,100.0,0.004851146567199377,price_only,elastic_net
3,2020-03-06,2020-03-06,2022-04-29,6328,904,-0.00047849925107068536,0.03603034134007586,0.06443204529043095,113,100.0,0.001456127509569614,price_only,elastic_net
4,2022-05-06,2022-05-06,2024-06-28,7232,904,0.008728717237784678,0.09418457648546147,0.1834704293761653,113,100.0,0.012342918077076648,price_only,elastic_net
5,2024-07-05,2024-07-05,2026-08-28,8136,904,0.0009276443035280968,0.02760219131900549,0.05553871299895394,113,100.0,0.0016121119022688827,price_only,elastic_net
0,2013-09-06,2013-09-06,2015-10-30,3616,904,0.001635635256319934,0.006508661122172279,0.016827104348908224,113,100.0,0.0018417886395181052,price_only,lightgbm
1,2015-11-06,2015-11-06,2017-12-29,4520,904,-0.03373380546081628,0.016033643884933266,0.03754478398943489,113,100.0,-0.0011489799388541165,price_only,lightgbm
2,2018-01-05,2018-01-05,2020-02-28,5424,904,-0.003652557887883434,0.0534117154411746,0.1202453109938748,113,100.0,0.005900374611739109,price_only,lightgbm
3,2020-03-06,2020-03-06,2022-04-29,6328,904,-0.05246270577241652,0.028366954173112156,0.06674064918948538,113,100.0,0.0026319336403601264,price_only,lightgbm
4,2022-05-06,2022-05-06,2024-06-28,7232,904,0.013435918507646472,0.07880502264190707,0.18167238863324814,113,100.0,0.00904887880476832,price_only,lightgbm
5,2024-07-05,2024-07-05,2026-08-28,8136,904,0.0016086213557215956,0.041751297410614084,0.10335065476086407,113,100.0,0.007480586333832886,price_only,lightgbm
0,2013-09-06,2013-09-06,2015-10-30,3616,904,-1045.2242288461612,0.010956595027391484,0.0270083615040131,113,100.0,0.0030164278542274994,fundamentals_only,baseline
1,2015-11-06,2015-11-06,2017-12-29,4520,904,-478.9600593350898,0.02233459755583651,0.05554410004672619,113,100.0,0.0032108690246685574,fundamentals_only,baseline
2,2018-01-05,2018-01-05,2020-02-28,5424,904,-384.22281103083554,-0.04972608512431521,-0.13919682138361938,113,100.0,-0.003720056592050561,fundamentals_only,baseline
3,2020-03-06,2020-03-06,2022-04-29,6328,904,-9313375850.73112,0.047829751369574396,0.12430429415397058,113,100.0,0.004373360431704337,fundamentals_only,baseline
4,2022-05-06,2022-05-06,2024-06-28,7232,904,-921.866583982293,0.03539823008849559,0.08074335624516836,113,100.0,0.004458673378850725,fundamentals_only,baseline
5,2024-07-05,2024-07-05,2026-08-28,8136,904,-1270.9738508528853,0.006742520016856315,0.01357035119485718,113,100.0,0.0009212491556820576,fundamentals_only,baseline
0,2013-09-06,2013-09-06,2015-10-30,3616,904,-0.010694904514727765,-0.03308048883270123,-0.08796822381605035,113,100.0,-0.0006919354123258375,fundamentals_only,ols
1,2015-11-06,2015-11-06,2017-12-29,4520,904,-0.0011976090959708863,0.013906447534766126,0.03429071825513526,113,100.0,0.0013442672348739806,fundamentals_only,ols
2,2018-01-05,2018-01-05,2020-02-28,5424,904,-0.013711633948231494,-0.08301727770754319,-0.24629471025898672,113,100.0,-0.005813219118409773,fundamentals_only,ols
3,2020-03-06,2020-03-06,2022-04-29,6328,904,-157769.95928118794,0.020016856300042137,0.04601925278319335,113,100.0,0.002384806669762005,fundamentals_only,ols
4,2022-05-06,2022-05-06,2024-06-28,7232,904,-0.019316894373771598,0.04677623261694059,0.1283080460241343,113,100.0,0.002897552797369188,fundamentals_only,ols
5,2024-07-05,2024-07-05,2026-08-28,8136,904,-0.014874794100685262,0.00927096502317742,0.020876504810512075,113,100.0,-0.0013057155279044186,fundamentals_only,ols
0,2013-09-06,2013-09-06,2015-10-30,3616,904,-0.010574238138601366,-0.034134007585335024,-0.09085616477388511,113,100.0,-0.0006919354123258375,fundamentals_only,ridge
1,2015-11-06,2015-11-06,2017-12-29,4520,904,-0.0011690129467321064,0.015170670037926682,0.03753029812799755,113,100.0,0.0013442672348739806,fundamentals_only,ridge
2,2018-01-05,2018-01-05,2020-02-28,5424,904,-0.013692860082406222,-0.08301727770754319,-0.24629471025898672,113,100.0,-0.005813219118409773,fundamentals_only,ridge
3,2020-03-06,2020-03-06,2022-04-29,6328,904,-157713.53093062819,0.020016856300042137,0.04601925278319335,113,100.0,0.002384806669762005,fundamentals_only,ridge
4,2022-05-06,2022-05-06,2024-06-28,7232,904,-0.019286497087333876,0.04677623261694059,0.1283080460241343,113,100.0,0.002897552797369188,fundamentals_only,ridge
5,2024-07-05,2024-07-05,2026-08-28,8136,904,-0.01486559367330087,0.00927096502317742,0.020876504810512075,113,100.0,-0.0013057155279044186,fundamentals_only,ridge
0,2013-09-06,2013-09-06,2015-10-30,3616,904,-1.7544040015859963e-05,-0.0526048671700745,-0.1489446024997792,113,100.0,-0.0009350895190835242,fundamentals_only,elastic_net
1,2015-11-06,2015-11-06,2017-12-29,4520,904,0.0,,,0,100.0,-0.00015070196170824968,fundamentals_only,elastic_net
2,2018-01-05,2018-01-05,2020-02-28,5424,904,-0.00013602441693327805,-0.040244416350611045,-0.11795528282120611,113,100.0,-0.0010926478883158928,fundamentals_only,elastic_net
3,2020-03-06,2020-03-06,2022-04-29,6328,904,-33761.95397610246,-0.0056890012642225015,-0.012722450791722779,113,100.0,-0.0010424329096825886,fundamentals_only,elastic_net
4,2022-05-06,2022-05-06,2024-06-28,7232,904,-0.0021373257658940936,0.01243152128107879,0.03329653771347572,113,100.0,0.0003059225574231916,fundamentals_only,elastic_net
5,2024-07-05,2024-07-05,2026-08-28,8136,904,-0.0010585718696543012,-0.008849557522123902,-0.020267087042698324,113,100.0,-0.00029631514724451824,fundamentals_only,elastic_net
0,2013-09-06,2013-09-06,2015-10-30,3616,904,-0.02791529135155657,0.02252758431519176,0.05790983326326152,113,100.0,0.0021377953195044733,fundamentals_only,lightgbm
1,2015-11-06,2015-11-06,2017-12-29,4520,904,-0.039886709872541726,-0.0338337707016623,-0.07606689283265854,113,100.0,-0.003953823574296637,fundamentals_only,lightgbm
2,2018-01-05,2018-01-05,2020-02-28,5424,904,-0.03136185551782078,0.10577328276443322,0.27757802838266143,113,100.0,0.009001068258009389,fundamentals_only,lightgbm
3,2020-03-06,2020-03-06,2022-04-29,6328,904,-0.03754462491513766,0.010535187526337962,0.025322915437295788,113,100.0,0.0026917943389613568,fundamentals_only,lightgbm
4,2022-05-06,2022-05-06,2024-06-28,7232,904,-0.05701889848414843,-0.059418457648546155,-0.15203117992585394,113,100.0,-0.003580489132765097,fundamentals_only,lightgbm
5,2024-07-05,2024-07-05,2026-08-28,8136,904,-0.06260854421504858,0.04108723135271808,0.0970179406461419,113,100.0,0.002158352721249774,fundamentals_only,lightgbm
