factor,ic_1d,icir_1d,ic_5d,icir_5d,ic_20d,icir_20d
realized_vol_60d,0.0214870813332444,0.0453515187123399,0.0537737456342107,0.109490807261574,0.1029041212897715,0.2143544019452553
adv_20d,0.0206157481780494,0.0452433040517322,0.047301869237926,0.1003607617382358,0.0938387821735996,0.1965457657591071
sales_to_price,0.0297265440829797,0.0645895050930701,0.0440633869441816,0.0896978417494805,0.0911371237458193,0.1868560258825436
realized_vol_20d,0.0084694277035507,0.0182293501369016,0.041740674955595,0.0888203500308915,0.0869058219904168,0.1857906398118866
downside_vol_20d,0.0131302870894074,0.0286051773006955,0.031675547661338,0.0683379450183514,0.0597676292244413,0.1314856719215524
momentum_12_1,0.0094718377344476,0.0206418642993645,0.0305238978708366,0.0666317920261371,0.0223698781838316,0.0510081450886774
gross_profitability,-0.0003816793893129,-0.0005955972875984,0.0225621414913957,0.0347276215793408,-0.0059615384615384,-0.0096534944240169
asset_growth,0.0004012384446701,0.000952017680956,0.0182791943183141,0.042477072665516,0.041571720712825,0.096229439984629
momentum_3_1,0.0009870271204919,0.0022428263762778,0.0138551391908598,0.0325600146919793,0.027571172095409,0.0627899829520989
momentum_6_1,-0.0044003926787387,-0.0097389996355204,0.0072248102139406,0.0163062381860569,0.0261234375675792,0.0589573841306422
reversal_5d,0.0360627694772449,0.0844020895820661,0.003985828166519,0.0093576757554058,-0.0016916180326482,-0.0040236152044998
reversal_20d,0.021299154428956,0.0491666823856508,-0.0056880656347796,-0.0130666608603766,-0.0240851460798032,-0.0575330452279418
reversal_1d,0.0230851983901753,0.0545246212730784,-0.0081864101826808,-0.0192380640609735,-0.0002713449621797,-0.0006304210951293
earnings_yield,-0.0015187849720223,-0.0026617364944308,-0.0111444577831132,-0.0198969103195691,0.0109925415949512,0.0194683409324705
roa,0.0065410779696494,0.01180876032075,-0.0185411572942135,-0.0331352703011473,-0.0250423605024832,-0.044731349590763
leverage,-0.0079235667041581,-0.0166813354691802,-0.0185927996054578,-0.0386638529392558,-0.0446882217090069,-0.0942971929428595
book_to_market,-0.0086754241926655,-0.0185133060729744,-0.0244698339635048,-0.0521007807609432,-0.0348344880677444,-0.075167559959428
operating_margin,-0.0452631578947368,-0.0797405055601392,-0.0246478873239436,-0.0428428679069324,-0.0523131672597864,-0.0915218072279414
amihud_20d,-0.0227184022379225,-0.050690190934269,-0.0445212720967605,-0.0972150786971092,-0.0874146631047788,-0.1878105404996841
