factor,year,mean_ic,n_dates
realized_vol_60d,2005,0.20714285714285716,40
realized_vol_60d,2006,0.045787545787545784,52
realized_vol_60d,2007,0.0837912087912088,52
realized_vol_60d,2008,-0.07967032967032968,52
realized_vol_60d,2009,0.08670260557053013,53
realized_vol_60d,2010,0.020604395604395594,52
realized_vol_60d,2011,0.005494505494505494,52
realized_vol_60d,2012,0.030219780219780217,52
realized_vol_60d,2013,-0.026098901098901096,52
realized_vol_60d,2014,0.015109890109890112,52
realized_vol_60d,2015,0.08805031446540883,53
realized_vol_60d,2016,0.09065934065934068,52
realized_vol_60d,2017,0.07371794871794873,52
realized_vol_60d,2018,-0.04304029304029304,52
realized_vol_60d,2019,0.1771978021978022,52
realized_vol_60d,2020,0.008535489667565139,53
realized_vol_60d,2021,0.11309523809523811,52
realized_vol_60d,2022,-0.02793040293040293,52
realized_vol_60d,2023,0.09478021978021979,52
realized_vol_60d,2024,0.11767399267399269,52
realized_vol_60d,2025,0.1295787545787546,52
realized_vol_60d,2026,-0.016326530612244892,35
adv_20d,2005,0.09821428571428574,48
adv_20d,2006,-0.021062271062271074,52
adv_20d,2007,0.1208791208791209,52
adv_20d,2008,-0.01602564102564102,52
adv_20d,2009,0.08041329739442948,53
adv_20d,2010,0.02426739926739927,52
adv_20d,2011,0.03983516483516484,52
adv_20d,2012,0.017857142857142863,52
adv_20d,2013,-0.04532967032967034,52
adv_20d,2014,-0.010531135531135525,52
adv_20d,2015,-0.014824797843665766,53
adv_20d,2016,0.11904761904761905,52
adv_20d,2017,0.13461538461538464,52
adv_20d,2018,-0.02655677655677656,52
adv_20d,2019,0.13873626373626374,52
adv_20d,2020,0.10916442048517522,53
adv_20d,2021,0.08974358974358974,52
adv_20d,2022,-0.05128205128205129,52
adv_20d,2023,0.11858974358974361,52
adv_20d,2024,0.07097069597069598,52
adv_20d,2025,0.0663919413919414,52
adv_20d,2026,-0.021768707482993206,35
realized_vol_20d,2005,0.1711309523809524,48
realized_vol_20d,2006,0.013278388278388275,52
realized_vol_20d,2007,0.09386446886446888,52
realized_vol_20d,2008,-0.05219780219780221,52
realized_vol_20d,2009,0.0624438454627134,53
realized_vol_20d,2010,-0.007783882783882788,52
realized_vol_20d,2011,-0.00503663003663004,52
realized_vol_20d,2012,0.02380952380952381,52
realized_vol_20d,2013,-0.0054945054945054975,52
realized_vol_20d,2014,-0.0018315018315018272,52
realized_vol_20d,2015,0.03683737646001797,53
realized_vol_20d,2016,0.06456043956043957,52
realized_vol_20d,2017,0.027930402930402935,52
